Segment,Make,Model,Vendor,Vendor Name,VENDOR NOTES,Part_ Type,MPN,SKU,Year,unique,match
Snow,Polaris,440 IQ,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 440 IQ,440 IQ
Snow,Polaris,500 XC SP,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 500 XC SP,500 XC SP
,Polaris,500 XC,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 500 XC,#N/A
,Polaris,600 IQ Shift,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ Shift,#N/A
,Polaris,600 IQ,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ,#N/A
,Polaris,600 Dragon SP,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Dragon SP,#N/A
,Polaris,600 IQ Shift 136,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ Shift 136,#N/A
Snow,Polaris,600 SwitchBack,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 SwitchBack,600 SwitchBack
,Polaris,600 IQ Touring,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ Touring,#N/A
,Polaris,600 Dragon IQ,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Dragon IQ,#N/A
,Polaris,600 Dragon SwitchBack,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 Dragon SwitchBack,#N/A
,Polaris,600 HO IQ Touring,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 HO IQ Touring,#N/A
,Polaris,600 IQ LX,NACH,NACHMAN INTERNATIONAL CO. LTD,"IT WILL COVER SM-10081 (OLD ITEM), AFTER STOCK OF SM-10081 IS NO LONGER AVAILABLE. INCREASED LIFESPAN OF GEAR DUE TO SM-10086 HAVINGCHAMFER ON EDGE & DEEPER GEAR DEPTH. OEM# 3090254, 5133689; 10 TEETH; MATERIAL: PHOSPHOR BRONZE ALLOY",WATER PUMP GEAR,SM-10086,1101043,2007,2007 600 IQ LX,#N/A
